time	distance	speed
4820648.815028654	127370432409.01965	30254.4847644919	
4827193.2256738	127316761166.38603	30268.940221704666	
4843277.296986054	127183322603.57149	30304.680620177645	
4871768.631970329	126943088568.34358	30368.599805163238	
4917422.299477797	126549137842.85385	30472.531267323582	
4987446.246196657	125924667637.6667	30635.454107332727	
5082810.78997806	125042177388.11108	30863.569647220676	
5241374.812994255	123460446642.28871	31262.02641231658	
5415782.621879358	121653181154.29948	31719.726108551902	
5589250.295844808	119812540823.18864	32193.245014580374	
5762788.030217156	117928196098.79613	32685.693537200434	
5950321.876803754	115821319633.58292	33241.709029623125	
6133781.129843588	113723257060.81247	33807.0073939853	
6315417.72359392	111609318745.67653	34388.09496312865	
6498397.435276273	109440347323.9214	34995.79299382248	
6690482.400783735	107109047111.18997	35659.746151146435	
6889492.064132357	104644983857.49243	36375.353262620025	
7079822.732640283	102281979829.33682	37081.76225291159	
7261058.200601045	100035514021.81493	37772.98146477401	
7443178.3570200065	97767153487.39386	38487.345108265414	
7626307.8625436	95482831746.46205	39224.14691336034	
7807626.772711209	93233856303.7229	39968.677462869164	
7992302.472381078	90953104841.06793	40741.54708928659	
8174501.04436795	88740251512.78044	41511.995431721494	
8365045.84769588	86446749193.99968	42327.047490718716	
8557941.107404834	84181637373.9646	43151.9072236903	
8740045.178579127	82154648226.77194	43913.28867545793	
8930805.122054847	80098839763.6352	44697.61633449882	
9110757.791751184	78308301520.40262	45398.30780488037	
9293323.308382643	76610309479.6569	46069.8481563156	
9476006.448365934	75058377622.9463	46686.828512927874	
9658613.183436941	73672606350.39137	47234.56656798674	
9841434.053327933	72465846564.50941	47700.32939294044	
10029673.640025517	71402597468.27176	48087.61626407723	
10251058.884072535	70247766153.66809	48459.819359419074	
10432340.59711178	69723070607.86041	48568.44406586487	
10618998.8031903	69376378086.3384	48561.96557064828	
10801261.716155954	69270366522.11237	48422.07112305267	
10989736.5495572	69337608331.53923	48162.46766929247	
11172102.005957767	69620774007.1269	47786.01042910776	
11355136.005340975	70069104371.42567	47308.12349694565	
11545164.070183078	70654140432.37682	46731.42288976412	
11747483.272627668	71357592181.55957	46052.861333141176	
11928035.11768889	72190963620.15039	45356.058136265	
12111116.36747839	73098560358.66165	44614.96490446315	
12293929.194747029	74058323357.05464	43850.64284001082	
12476788.26709419	75048838253.3153	43075.617279119106	
12665903.494299851	76056192685.2987	42282.91851326681	
12855107.190351333	77054986363.83961	41501.875239757	
13038869.047056992	78021649716.2828	40758.519852680285	
13240546.850369379	78955381655.52818	39995.113526046836	
13432587.581453914	79822098524.18369	39297.10111753773	
13623772.77858626	80613798526.65276	38645.84463143774	
13804611.142068619	81321402278.80554	38066.87161170016	
13987458.150482243	81940955983.93217	37532.94776708943	
14170259.919145169	82463220528.38174	37052.5031942308	
14354111.250024434	82878977863.00856	36627.07178485657	
14540233.616389044	83176686112.54936	36259.22225933357	
14746910.914818155	83282714331.39001	35943.62129422016	
14930658.6969347	83323959651.99377	35714.663001072	
15112417.940675834	83242957935.44453	35554.0203714383	
15295288.071628708	83023850010.06488	35463.4025702043	
15477120.704298764	82672305817.97069	35444.90570691255	
15665731.256952137	82134313400.07536	35510.2137978348	
15848861.7678035	81482310619.9169	35649.56495931624	
16029898.180861156	80697439194.519	35866.54895232927	
16212476.76675394	79748267514.614	36171.4322244339	
16397640.050403623	78616828020.48723	36573.63238212353	
16601808.05066033	77098888131.96507	37146.541668968646	
16784604.792684283	75651367602.26222	37745.30727696733	
